item,title,type
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_a_nice_place_to_live,A Nice Place To Live,http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_dr__jekyll_and_mr__hyde_and_other_stories_of_the_supernatural,Dr. Jekyll and Mr. Hyde and Other Stories of the Supernatural,http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_four_octobers,Four Octobers,http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_horror_house,Horror House,http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_i_am_legend,I am Legend,http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_no_substitutions__strange_matter_,No Substitutions (Strange matter),http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_screams_and_nightmares___the_films_of_wes_craven,Screams and Nightmares : The Films of Wes Craven,http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_the_return_of_the_vampire__point_,The Return of the Vampire (Point),http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Book_to_the_end_of_time__the_best_of_olaf_stapledon__selection_and_introd__by_basil_davenport__midcentury_reference_library_,To the end of time: The best of Olaf Stapledon. Selection and introd. by Basil Davenport (Midcentury reference library),http://schema.org/Book
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4297,17 AGAIN,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3531,300,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie122,9,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4189,AGE OF THE DRAGONS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie172,ALICE IN WONDERLAND,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie212,AVATAR,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3979,BEASTLY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3187,BEAUTY AND THE BEAST,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4056,BEETLEJUICE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie72,BEING JOHN MALKOVICH,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie107,BEWITCHED,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie191,BLADE 2,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4131,BREAKING DAWN,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4078,CATWOMAN,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3668,CIRQUE DU FREAK: THE VAMPIRE'S ASSISTANT,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3691,CLASH OF THE TITANS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie80,CLICK,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3529,CONSTANTINE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie141,CORALINE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie162,CORPSE BRIDE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4015,DAREDEVIL,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4356,DARK SHADOWS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie110,DEATH BECOMES HER,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4251,DECONSTRUCTING HARRY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3830,DOGMA,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3928,DRIVE ANGRY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie79,ECLIPSE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie195,EDWARD SCISSORHANDS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3719,ELEKTRA,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3683,ELF,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4002,ERAGON,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie98,ETERNAL SUNSHINE OF THE SPOTLESS MIND,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4308,EVAN ALMIGHTY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3515,FANTASTIC FOUR,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3516,FANTASTIC FOUR: RISE OF THE SILVER SURFER,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3923,GHOST RIDER,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie158,GHOST TOWN,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4273,GHOSTS OF GIRLFRIENDS PAST,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3799,GULLIVER'S TRAVELS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3585,HANCOCK,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3722,HARRY POTTER AND THE GOBLET OF FIRE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3728,HARRY POTTER AND THE ORDER OF THE PHOENIX,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3721,HARRY POTTER AND THE PRISONER OF AZKABAN,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3885,HEREAFTER,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4377,HOW THE GRINCH STOLE CHRISTMAS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie153,IDIOCRACY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4178,IMMORTALS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4062,INK,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3933,INSIDIOUS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3124,INTERVIEW WITH THE VAMPIRE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3742,JENNIFER'S BODY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4331,JOHN CARTER,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2116,JURASSIC PARK,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4293,JUST MY LUCK,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3857,LEGEND OF THE GUARDIANS: THE OWLS OF GA'HOOLE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3690,LEGION,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4087,MIDNIGHT IN PARIS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie194,NEW MOON,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4168,OVER HER DEAD BODY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4177,PERFUME: THE STORY OF A MURDERER,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie223,PIRATES OF THE CARIBBEAN: AT WORLD'S END,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4007,PIRATES OF THE CARIBBEAN: ON STRANGER TIDES,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie218,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie184,PRINCE OF PERSIA: THE SANDS OF TIME,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3952,RED RIDING HOOD,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3865,SEASON OF THE WITCH,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3682,SERENDIPITY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3650,SLEEPING BEAUTY,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3507,SLEEPY HOLLOW,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3919,SOLOMON KANE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3606,STARDUST,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3958,SUCKER PUNCH,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4157,SUPERMAN RETURNS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4338,THE GOOD WITCH,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie39,THE IMAGINARIUM OF DOCTOR PARNASSUS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie175,THE INVENTION OF LYING,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3918,THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie230,THE LORD OF THE RINGS: THE RETURN OF THE KING,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie226,THE LORD OF THE RINGS: THE TWO TOWERS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie241,THE PRESTIGE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3616,THE PRINCESS AND THE FROG,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie234,THE SCIENCE OF SLEEP,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie111,THE SECRET OF KELLS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3687,THE SORCERER'S APPRENTICE,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3313,TIM BURTON'S THE NIGHTMARE BEFORE CHRISTMAS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie193,TWILIGHT,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4201,UNDERWORLD: AWAKENING,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3836,UNDERWORLD: EVOLUTION,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3837,UNDERWORLD: RISE OF THE LYCANS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie130,UnknownMovie130,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie161,UnknownMovie161,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie190,UnknownMovie190,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie1905,UnknownMovie1905,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie192,UnknownMovie192,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2011,UnknownMovie2011,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2015,UnknownMovie2015,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie219,UnknownMovie219,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2465,UnknownMovie2465,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2683,UnknownMovie2683,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2770,UnknownMovie2770,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3098,UnknownMovie3098,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3599,UnknownMovie3599,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3605,UnknownMovie3605,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3699,UnknownMovie3699,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3700,UnknownMovie3700,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3701,UnknownMovie3701,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3785,UnknownMovie3785,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3833,UnknownMovie3833,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3835,UnknownMovie3835,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3888,UnknownMovie3888,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3977,UnknownMovie3977,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4010,UnknownMovie4010,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4033,UnknownMovie4033,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4047,UnknownMovie4047,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4326,UnknownMovie4326,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie86,UnknownMovie86,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie78,WATCHMEN,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4152,WIR SIND DIE NACHT,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4359,WRATH OF THE TITANS,http://schema.org/Movie
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie142,X-MEN ORIGINS: WOLVERINE,http://schema.org/Movie
